Quantity,Designator,Type,Comment,Description,Manufacturer,Manufacturer Part Number,LibRef,Supplier 1,Supplier Part Number 1

"3","C200, C201, C202","Capacitor","C 4.7uF 0805 50V","CAP CER 4.7UF 50V X5R 0805","Samsung Electro-Mechanics","CL21A475KBQNNNE","CAP_4.7uF_50V_0805","Digi-Key","1276-1248-1-ND"
"4","C203, C301, C400, C402","Capacitor","C 100nF 0402 50V","CAP CER 0.1UF 50V X7R 0402","Murata Electronics","GRM155R71H104KE14J","CAP_100nF_50V_0402","Digi-Key","490-13342-1-ND"
"4","C204, C205, C206, C300","Capacitor","C 1uF 0402 25V","CAP CER 1UF 25V X5R 0402","Taiyo Yuden","TMK105BJ105MV-F","CAP_1uF_25V_0402","Digi-Key","587-3245-1-ND"
"1","C302","Capacitor","C 100nF 0402 10V","CAP CER 0.1UF 10V X5R 0402","Samsung Electro-Mechanics","CL05A104MP5NNNC","CAP_100nF_10V_0402","Digi-Key","1276-1443-1-ND"
"1","C401","Capacitor","C 10uF 0805 50V","CAP CER 10UF 50V X5R 0805","Murata Electronics","GRM21BR61H106KE43K","CAP_10uF_50V_0805","Digi-Key","490-GRM21BR61H106KE43KTR-ND"
"1","C403","Capacitor","C 47pF 0402 25V","CAP CER 47PF 25V C0G/NP0 0402","KEMET","C0402C470J3GAC7867","CAP_47pF_25V_0402","Digi-Key","399-C0402C470J3GAC7867CT-ND"
"1","C404","Capacitor","C 33nF 0402 50V","CAP CER 0.033UF 50V X7R 0402","Murata Electronics","GCM155R71H333KE02J","CAP_33nF_50V_0402","Digi-Key","490-GCM155R71H333KE02JTR-ND"
"1","C405","Capacitor","C 47uF 1206 25V","CAP CER 47UF 25V X5R 1206","Murata Electronics","GRM31CR61E476ME44K","CAP_47uF_25V_1206","Digi-Key","GRM31CR61E476ME44K"
"1","D100","Diode","BAS20LT3G","DIODE GP 200V 200MA SOT23-3","onsemi","BAS20LT3G","D_LL_200V_200mA","Digi-Key","BAS20LT3GOSCT-ND"
"2","D200, D201","Diode, TVS","TVS 41V","TVS DIODE 22VWM 41VC 1610","STMicroelectronics","ESDA25P35-1U1M","D_SCH_41V_35A","Digi-Key","497-16913-1-ND"
"1","D202","Diode, TVS","TVS_4 5V","TVS DIODE 5VWM 12.5VC SOT23-6","Comchip Technology","CPDT6-5V0UPC-HF","D_TVS_U4_12V5","Digi-Key","641-1829-1-ND"
"2","D203, D204","Diode, LED","LED G","LED GREEN DIFFUSED 0603 SMD","OSRAM Opto Semiconductors Inc.","LT Q39G-Q1OO-25-1","D_LED_Green_0603","Digi-Key","475-3442-1-ND"
"1","D205","Diode, LED","LED R","LED RED DIFFUSED 0603 SMD","OSRAM Opto Semiconductors Inc.","LS Q976-NR-1","D_LED_Red_0603","Digi-Key","475-2512-1-ND"
"1","IC200","IC, Regulator","NCP716MT30TBG","IC REG LINEAR 3V 80MA 6WDFN","onsemi","NCP716MT30TBG","IC_Reg_NCP716MT30TBG","Digi-Key","488-NCP716MT30TBGTR-ND"
"1","IC201","IC","STUSB4500","IC USB CONTROLLER I2C 24QFN","STMicroelectronics","STUSB4500QTR","IC_STUSB4500","Digi-Key","497-18060-2-ND"
"1","IC300","IC, MCU","STM32L011F3U6","IC MCU 32BIT 8KB FLASH 20UFQFPN","STMicroelectronics","STM32L011F3U6TR","IC_MCU_STM32L011F3U6","Digikey","497-18800-2-ND"
"1","IC400","IC, Regulator","TPS62932","IC REG BUCK ADJ 2A SOT583","Texas Instruments","TPS62932DRLR","IC_Reg_TPS62932DRLR","Digi-Key","296-TPS62932DRLRTR-ND"
"1","J200","Connector","USB_C PWR","TYPE C, 20 VDC, 3 A, RIGHT ANGLE","CUI Devices","UJC-HP2-3-SMT-TR","J_USB-C_3","Digi-Key","2223-UJC-HP2-3-SMT-TR-ND"
"1","J300","Connector","5x2","CONN HEADER SMD 10POS 1.27MM","Sullins Connector Solutions","GRPB052VWQS-RC","J_MH5x2_1.27","Digi-Key","S9012E-05-ND"
"1","L200","Inductor","L 1.2uH 3.9A","FIXED IND 1.2UH 3.9A 36 MOHM SMD","Würth Elektronik","74438336012","L_1.2uH_3.9A","Digi-Key","732-5694-1-ND"
"2","L201, L202","Inductor, Ferrite","L Ferrite 100R 4A","FIXED IND 100 4000MA 1206","Eaton - Electronics Division","MFBM1V3216-101-R","L_100R_4A","Digi-Key","283-MFBM1V3216-101-RCT-ND"
"1","L400","Inductor","L 15uH 6.5A","FIXED IND 15UH 6.5A 26 MOHM SMD","Würth Elektronik","7447709150","L_15uH_6.5A","Digi-Key","732-7447709150TR-ND"
"2","P100, P101","Transistor","P NMOS 30V 600mA","MOSFET N-CH 30V 600MA SC70-3","Vishay Siliconix","SI1302DL-T1-E3","P_NCH_30V_280mW","Digi-Key","SI1302DL-T1-E3CT-ND"
